,gdp_billions,unemployment_rate_pct,lfpr_pct,avg_hourly_earnings_nominal,avg_hourly_earnings_real,job_openings_thousands,total_nonfarm_employment,civilian_labor_force_thousands,wage_p10,wage_p50,wage_p90,fed_tax_revenue_pct_gdp,wage_growth_yoy,labor_market_tightness,gini_coefficient,avg_federal_tax_rate_pct,redist_eitc,redist_snap,redist_medicaid,redist_ui,workers_affected,days_idle,civil_unrest_events,protest_intensity_score
1986-06-30,1.8,7.166666666666667,65.23333333333333,,9.576666666666666,,99174.66666666667,117642.66666666667,1324.0,5308.0,26410.0,1583.014,,,0.38825728809446775,14.54,33.004839999999994,11.3270795,392.28125,19.279,533.1,11860.5,0.0,0.5000022657595884
1986-09-30,3.9,6.966666666666666,65.36666666666667,,9.603333333333333,,99665.0,118224.66666666667,1324.0,5308.0,26410.0,1625.336,,,0.38825728809446775,14.54,33.004839999999994,11.3270795,392.28125,19.279,533.1,11860.5,0.0,0.5000022546056379
1986-12-31,2.2,6.833333333333333,65.36666666666667,,9.64,,100312.66666666667,118587.0,1324.0,5308.0,26410.0,1625.422,,,0.38825728809446775,14.54,33.004839999999994,11.3270795,392.28125,19.279,533.1,11860.5,0.0,0.5000022477168661
1987-03-31,3.0,6.599999999999999,65.46666666666667,,9.69,,100920.33333333333,119079.0,1304.0,6042.0,27480.0,1646.039,,,0.38825728809446775,13.12,33.004839999999994,11.3270795,392.28125,17.379,174.4,4481.4,0.0,0.5000007322869692
1987-06-30,4.4,6.266666666666667,65.53333333333335,,9.726666666666667,,101709.0,119662.66666666667,1304.0,6042.0,27480.0,1671.574,,,0.38825728809446775,13.12,33.004839999999994,11.3270795,392.28125,17.379,174.4,4481.4,0.0,0.500000728715166
1987-09-30,3.5,6.0,65.60000000000001,,9.796666666666667,,102438.0,120077.0,1304.0,6042.0,27480.0,1686.72,,,0.38825728809446775,13.12,33.004839999999994,11.3270795,392.28125,17.379,174.4,4481.4,0.0,0.5000007262006879
1987-12-31,7.0,5.833333333333333,65.7,,9.866666666666667,,103390.33333333333,120592.66666666667,1304.0,6042.0,27480.0,1720.341,,,0.38825728809446775,13.12,33.004839999999994,11.3270795,392.28125,17.379,174.4,4481.4,0.0,0.5000007230953789
1988-03-31,2.1,5.7,65.8,,9.923333333333334,,104152.0,121012.66666666667,1520.0,6853.0,29013.0,1734.527,,,0.38825728809446775,13.21,33.004839999999994,11.3270795,392.28125,16.121,2500.0,2879500.0,0.0,0.5000103294971876
1988-06-30,5.4,5.466666666666666,65.76666666666667,,10.016666666666666,,105006.66666666667,121265.0,1520.0,6853.0,29013.0,1750.068,,,0.38825728809446775,13.21,33.004839999999994,11.3270795,392.28125,16.121,2500.0,2879500.0,0.0,0.5000103080031336
1988-09-30,2.4,5.466666666666666,65.96666666666667,,10.08,,105745.66666666667,121916.66666666667,1520.0,6853.0,29013.0,1762.317,,,0.38825728809446775,13.21,33.004839999999994,11.3270795,392.28125,16.121,2500.0,2879500.0,0.0,0.5000102529049898
